epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1684.86,1.17037,0.59007,1.22444,0.89743,0.89775,0.93973,0.66943,1.26881,0.50805,1.34475,0.0087526,0.0087526,0.0087526
65,1710.98,1.17117,0.58889,1.22945,0.91971,0.87331,0.94136,0.66263,1.29465,0.54161,1.37215,0.0087328,0.0087328,0.0087328
66,1737.13,1.16943,0.5826,1.22732,0.92325,0.86861,0.94292,0.66388,1.28202,0.51186,1.3535,0.008713,0.008713,0.008713
67,1763.37,1.17039,0.58697,1.23229,0.9217,0.89778,0.94404,0.66849,1.26384,0.51268,1.34418,0.0086932,0.0086932,0.0086932
68,1789.56,1.16273,0.58211,1.22322,0.92634,0.89168,0.94629,0.66827,1.27055,0.49444,1.34693,0.0086734,0.0086734,0.0086734
69,1815.99,1.16544,0.57658,1.21771,0.93443,0.89873,0.95093,0.67515,1.27927,0.49579,1.35573,0.0086536,0.0086536,0.0086536
70,1842.17,1.15778,0.57478,1.21306,0.92972,0.89712,0.94656,0.66787,1.28493,0.50069,1.3591,0.0086338,0.0086338,0.0086338
71,1868.53,1.15233,0.57104,1.21361,0.93149,0.91756,0.95694,0.67859,1.27913,0.50415,1.34915,0.008614,0.008614,0.008614
72,1894.72,1.155,0.57008,1.22108,0.92725,0.89566,0.94789,0.67085,1.26786,0.48864,1.34645,0.0085942,0.0085942,0.0085942
73,1921.06,1.15384,0.57598,1.2095,0.9194,0.91074,0.95082,0.67481,1.28223,0.49054,1.36485,0.0085744,0.0085744,0.0085744
74,1947.22,1.14276,0.55917,1.21371,0.9339,0.90456,0.95607,0.67529,1.26471,0.49164,1.34431,0.0085546,0.0085546,0.0085546
75,1973.07,1.14763,0.56272,1.20655,0.93371,0.90185,0.95298,0.68596,1.25418,0.49253,1.33639,0.0085348,0.0085348,0.0085348
76,1999.51,1.14421,0.56544,1.20768,0.9376,0.90141,0.95688,0.68103,1.25537,0.4835,1.33378,0.008515,0.008515,0.008515
77,2025.57,1.14809,0.56298,1.21322,0.93298,0.90546,0.95201,0.68387,1.26172,0.4809,1.34703,0.0084952,0.0084952,0.0084952
78,2051.56,1.14175,0.56004,1.21101,0.92996,0.90441,0.94989,0.6797,1.26547,0.48622,1.35003,0.0084754,0.0084754,0.0084754
79,2077.54,1.13971,0.55646,1.20795,0.93397,0.89619,0.95273,0.68534,1.26366,0.48542,1.33633,0.0084556,0.0084556,0.0084556
80,2103.6,1.1318,0.55547,1.20313,0.94012,0.89413,0.94944,0.66563,1.30654,0.49348,1.37157,0.0084358,0.0084358,0.0084358
81,2129.78,1.13157,0.55862,1.20163,0.93437,0.89919,0.94823,0.66786,1.27867,0.50248,1.34832,0.008416,0.008416,0.008416
82,2155.87,1.13225,0.5602,1.21233,0.94576,0.90824,0.95486,0.68784,1.25489,0.48646,1.34267,0.0083962,0.0083962,0.0083962
83,2182.15,1.12931,0.55408,1.20414,0.93971,0.89752,0.95093,0.67807,1.26395,0.47642,1.34566,0.0083764,0.0083764,0.0083764
84,2208.1,1.11986,0.54964,1.1957,0.94795,0.91329,0.95517,0.68823,1.25354,0.47093,1.34076,0.0083566,0.0083566,0.0083566
85,2234.49,1.12228,0.54894,1.19813,0.93664,0.90065,0.95387,0.67764,1.28637,0.47964,1.35404,0.0083368,0.0083368,0.0083368
86,2260.64,1.11662,0.53865,1.20198,0.9217,0.90451,0.94473,0.68142,1.25856,0.47704,1.33696,0.008317,0.008317,0.008317
87,2286.93,1.12229,0.54533,1.20513,0.93589,0.91077,0.95653,0.67756,1.28859,0.4861,1.36346,0.0082972,0.0082972,0.0082972
88,2313.04,1.12256,0.54028,1.20002,0.9429,0.90716,0.95313,0.6815,1.26354,0.47926,1.34194,0.0082774,0.0082774,0.0082774
89,2339.41,1.11083,0.53844,1.19476,0.93785,0.89965,0.95233,0.67908,1.27601,0.47794,1.35211,0.0082576,0.0082576,0.0082576
90,2364.69,1.10784,0.53663,1.19197,0.93101,0.8895,0.94297,0.66577,1.29981,0.49709,1.37491,0.0082378,0.0082378,0.0082378
91,2388.3,1.11332,0.53514,1.19044,0.94735,0.91405,0.95656,0.66577,1.28367,0.4815,1.35538,0.008218,0.008218,0.008218
92,2411.65,1.10726,0.52957,1.18856,0.94373,0.91938,0.96243,0.68275,1.2721,0.466,1.35732,0.0081982,0.0081982,0.0081982
93,2435.26,1.10553,0.53527,1.18947,0.94473,0.89764,0.95259,0.68576,1.26756,0.46994,1.35363,0.0081784,0.0081784,0.0081784
94,2458.59,1.10052,0.53178,1.18003,0.95154,0.91097,0.96122,0.68391,1.26343,0.45572,1.35039,0.0081586,0.0081586,0.0081586
95,2482.18,1.09725,0.53403,1.18729,0.94198,0.9177,0.95762,0.67728,1.27554,0.47209,1.36089,0.0081388,0.0081388,0.0081388
96,2505.51,1.10063,0.53218,1.18555,0.94798,0.91413,0.9583,0.68063,1.26968,0.47172,1.35503,0.008119,0.008119,0.008119
97,2529.07,1.08574,0.52129,1.17755,0.94095,0.91845,0.95358,0.67807,1.28363,0.47374,1.36477,0.0080992,0.0080992,0.0080992
98,2552.38,1.09426,0.52885,1.18618,0.95034,0.9178,0.9569,0.68622,1.27529,0.46613,1.36018,0.0080794,0.0080794,0.0080794
99,2575.98,1.08354,0.52358,1.17599,0.95157,0.90701,0.95945,0.68663,1.28495,0.47315,1.36552,0.0080596,0.0080596,0.0080596
100,2599.32,1.08634,0.52098,1.18087,0.95628,0.91338,0.96159,0.67944,1.28114,0.46505,1.36303,0.0080398,0.0080398,0.0080398
101,2622.9,1.08108,0.52217,1.17745,0.94572,0.90716,0.95864,0.68597,1.27425,0.47133,1.35076,0.00802,0.00802,0.00802
102,2646.22,1.0838,0.51849,1.1781,0.94742,0.91867,0.96149,0.69169,1.2663,0.45614,1.34712,0.0080002,0.0080002,0.0080002
103,2670.36,1.07436,0.51544,1.16806,0.94748,0.90512,0.96054,0.68001,1.27219,0.46597,1.34939,0.0079804,0.0079804,0.0079804
104,2696.46,1.07517,0.51536,1.16539,0.9503,0.90987,0.9546,0.67833,1.27607,0.46495,1.3624,0.0079606,0.0079606,0.0079606
105,2722.84,1.07303,0.51521,1.1681,0.91607,0.93,0.95845,0.67911,1.27527,0.46521,1.35599,0.0079408,0.0079408,0.0079408
106,2748.76,1.06863,0.51259,1.16462,0.94597,0.92208,0.9605,0.68056,1.27985,0.46454,1.35456,0.007921,0.007921,0.007921
107,2774.94,1.06841,0.51033,1.16952,0.94332,0.91847,0.95836,0.6869,1.28067,0.46338,1.36281,0.0079012,0.0079012,0.0079012
108,2801.15,1.06556,0.50886,1.16373,0.95623,0.91675,0.96057,0.68661,1.26285,0.45282,1.35248,0.0078814,0.0078814,0.0078814
109,2827.12,1.05845,0.50978,1.16115,0.95142,0.90838,0.95624,0.68014,1.28159,0.46707,1.37368,0.0078616,0.0078616,0.0078616
110,2853.07,1.05472,0.50405,1.15857,0.94279,0.92266,0.95738,0.68482,1.29164,0.46112,1.36661,0.0078418,0.0078418,0.0078418
111,2879.28,1.05641,0.50138,1.15385,0.94821,0.91996,0.96311,0.68488,1.28363,0.46588,1.36301,0.007822,0.007822,0.007822
112,2905.22,1.05873,0.50349,1.16953,0.95776,0.92926,0.96527,0.68886,1.28565,0.45384,1.37599,0.0078022,0.0078022,0.0078022
113,2931.4,1.05099,0.49976,1.15936,0.94841,0.9197,0.96199,0.6831,1.28804,0.45809,1.37628,0.0077824,0.0077824,0.0077824
114,2957.33,1.04894,0.50232,1.15427,0.9509,0.91974,0.96009,0.68403,1.28524,0.45801,1.36731,0.0077626,0.0077626,0.0077626
115,2983.53,1.04545,0.49942,1.15408,0.95598,0.91072,0.95514,0.68578,1.2741,0.46437,1.36426,0.0077428,0.0077428,0.0077428
116,3009.52,1.03845,0.49623,1.14802,0.95557,0.91568,0.95792,0.67643,1.28996,0.46961,1.38276,0.007723,0.007723,0.007723
117,3035.72,1.03745,0.49705,1.15412,0.95476,0.91736,0.96159,0.67744,1.2921,0.46134,1.3783,0.0077032,0.0077032,0.0077032
118,3061.66,1.05135,0.50354,1.15873,0.95747,0.90502,0.95812,0.67903,1.27824,0.45272,1.36933,0.0076834,0.0076834,0.0076834
119,3088.07,1.03388,0.49343,1.14895,0.94612,0.91841,0.95792,0.67746,1.2934,0.45829,1.37989,0.0076636,0.0076636,0.0076636
120,3114.16,1.03687,0.4993,1.15518,0.95216,0.92598,0.96382,0.68598,1.28064,0.45149,1.37185,0.0076438,0.0076438,0.0076438
121,3140.48,1.02317,0.48861,1.14027,0.93774,0.93287,0.96732,0.68448,1.29353,0.45373,1.37787,0.007624,0.007624,0.007624
122,3166.63,1.02855,0.48708,1.14463,0.94865,0.91395,0.96059,0.68971,1.29386,0.45624,1.3817,0.0076042,0.0076042,0.0076042
123,3193.04,1.02265,0.48722,1.14034,0.95516,0.9202,0.95581,0.68373,1.29554,0.45342,1.38236,0.0075844,0.0075844,0.0075844
124,3219.2,1.02538,0.4954,1.14975,0.95485,0.92078,0.96357,0.69113,1.28909,0.46168,1.39158,0.0075646,0.0075646,0.0075646
125,3245.43,1.01438,0.48923,1.14235,0.95363,0.92617,0.96152,0.6823,1.28739,0.44916,1.38039,0.0075448,0.0075448,0.0075448
126,3271.62,1.01941,0.48849,1.14001,0.94448,0.92465,0.95605,0.68189,1.29226,0.45728,1.38213,0.007525,0.007525,0.007525
127,3297.85,1.00813,0.48389,1.14026,0.95068,0.91479,0.95964,0.68558,1.29618,0.4506,1.39148,0.0075052,0.0075052,0.0075052
128,3322.66,1.01915,0.48886,1.14644,0.95476,0.92227,0.96361,0.69293,1.28734,0.45307,1.38176,0.0074854,0.0074854,0.0074854
129,3346.31,1.01057,0.48825,1.13481,0.96012,0.91788,0.96399,0.68656,1.28948,0.44865,1.3849,0.0074656,0.0074656,0.0074656
130,3369.62,1.00773,0.48193,1.1345,0.94622,0.93091,0.96449,0.68595,1.28407,0.44947,1.3898,0.0074458,0.0074458,0.0074458
131,3393.2,1.01728,0.49165,1.14427,0.95704,0.9216,0.96116,0.68385,1.29398,0.45746,1.39553,0.007426,0.007426,0.007426
132,3416.51,1.00363,0.48059,1.13323,0.95474,0.93096,0.96663,0.68862,1.28172,0.44433,1.37838,0.0074062,0.0074062,0.0074062
133,3440.09,0.99743,0.47563,1.12412,0.9508,0.92691,0.96435,0.68808,1.29131,0.45392,1.37773,0.0073864,0.0073864,0.0073864
134,3463.42,0.99672,0.48028,1.12387,0.95563,0.92059,0.96028,0.6823,1.29311,0.45349,1.38992,0.0073666,0.0073666,0.0073666
135,3487,0.99471,0.47719,1.1269,0.96053,0.91868,0.9604,0.67755,1.29623,0.44934,1.39477,0.0073468,0.0073468,0.0073468
136,3510.35,0.99551,0.4726,1.12768,0.95748,0.91832,0.96367,0.68677,1.28886,0.45027,1.39414,0.007327,0.007327,0.007327
137,3533.7,0.98445,0.47439,1.12295,0.95975,0.91491,0.9622,0.68378,1.30827,0.46246,1.41812,0.0073072,0.0073072,0.0073072
138,3557.03,0.98616,0.47309,1.1239,0.957,0.92397,0.95963,0.68647,1.29704,0.44953,1.3913,0.0072874,0.0072874,0.0072874
139,3580.62,0.98829,0.47384,1.12885,0.95683,0.90947,0.96052,0.68103,1.29981,0.45502,1.39893,0.0072676,0.0072676,0.0072676
140,3603.95,0.98537,0.47475,1.12858,0.96132,0.92601,0.96465,0.68544,1.29954,0.45003,1.39954,0.0072478,0.0072478,0.0072478
141,3627.31,0.97682,0.47394,1.11859,0.94869,0.92765,0.96261,0.68413,1.29393,0.45304,1.39009,0.007228,0.007228,0.007228
142,3650.9,0.98378,0.48061,1.12683,0.95131,0.92169,0.95706,0.68752,1.29438,0.45157,1.39615,0.0072082,0.0072082,0.0072082
143,3674.27,0.96916,0.47024,1.11586,0.95629,0.90681,0.95554,0.67603,1.29931,0.4495,1.40629,0.0071884,0.0071884,0.0071884
144,3697.6,0.9783,0.47366,1.12576,0.95994,0.91823,0.96078,0.68655,1.29247,0.44566,1.38883,0.0071686,0.0071686,0.0071686
145,3721.2,0.96739,0.46423,1.10631,0.95351,0.9228,0.95951,0.68778,1.29338,0.44481,1.3988,0.0071488,0.0071488,0.0071488
146,3744.52,0.97357,0.47073,1.12277,0.96229,0.91569,0.96008,0.67746,1.29463,0.44174,1.40112,0.007129,0.007129,0.007129
147,3768.13,0.96938,0.4676,1.10791,0.96228,0.91932,0.96025,0.67757,1.29621,0.44378,1.39824,0.0071092,0.0071092,0.0071092
148,3791.47,0.9658,0.46147,1.11343,0.962,0.91569,0.96213,0.68704,1.29989,0.44752,1.4035,0.0070894,0.0070894,0.0070894
149,3815.06,0.95387,0.46021,1.10423,0.95853,0.92057,0.96328,0.68988,1.29097,0.4443,1.40419,0.0070696,0.0070696,0.0070696
150,3838.39,0.95369,0.46219,1.10552,0.95819,0.91643,0.96541,0.68658,1.30054,0.44453,1.40535,0.0070498,0.0070498,0.0070498
151,3862,0.96127,0.46228,1.10605,0.95411,0.92436,0.96131,0.68553,1.3101,0.44476,1.41343,0.00703,0.00703,0.00703
152,3885.31,0.95131,0.46027,1.09967,0.95969,0.91211,0.95791,0.68569,1.30485,0.45039,1.4178,0.0070102,0.0070102,0.0070102
153,3908.9,0.94954,0.45919,1.10925,0.96082,0.9202,0.95887,0.68899,1.29427,0.44327,1.40743,0.0069904,0.0069904,0.0069904
154,3932.23,0.94348,0.45579,1.09776,0.96583,0.91563,0.95947,0.67946,1.31127,0.44764,1.43049,0.0069706,0.0069706,0.0069706
155,3955.8,0.94375,0.45515,1.09931,0.95755,0.92652,0.96034,0.68688,1.30253,0.43982,1.41528,0.0069508,0.0069508,0.0069508
156,3979.37,0.95389,0.4602,1.11088,0.93412,0.92149,0.96346,0.68231,1.30324,0.44708,1.41496,0.006931,0.006931,0.006931
157,4002.99,0.94605,0.4603,1.10761,0.95197,0.92593,0.96441,0.68525,1.30158,0.44468,1.4218,0.0069112,0.0069112,0.0069112
158,4026.33,0.94021,0.45453,1.09837,0.95325,0.91713,0.96075,0.68961,1.29304,0.44114,1.40943,0.0068914,0.0068914,0.0068914
159,4049.95,0.93961,0.45149,1.09635,0.92958,0.92982,0.96067,0.67984,1.30214,0.44602,1.41973,0.0068716,0.0068716,0.0068716
160,4073.29,0.93734,0.4533,1.10134,0.96014,0.91597,0.96044,0.68124,1.31361,0.44893,1.43113,0.0068518,0.0068518,0.0068518
161,4096.9,0.93024,0.45429,1.09873,0.95461,0.91636,0.95947,0.6815,1.30912,0.45047,1.42253,0.006832,0.006832,0.006832
162,4120.22,0.93162,0.44997,1.09404,0.95067,0.90942,0.96031,0.68258,1.31054,0.44522,1.42628,0.0068122,0.0068122,0.0068122
163,4143.59,0.92863,0.45036,1.09418,0.95141,0.9141,0.96313,0.68499,1.3098,0.43905,1.42539,0.0067924,0.0067924,0.0067924
164,4166.93,0.93196,0.45224,1.09461,0.95798,0.91565,0.95882,0.68709,1.30485,0.4443,1.42272,0.0067726,0.0067726,0.0067726
