epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1620.38,1.16096,0.58922,1.18518,0.9244,0.92099,0.95728,0.68429,1.24966,0.47013,1.26186,0.0088912,0.0088912,0.0088912
58,1647.82,1.16162,0.58869,1.18804,0.94008,0.9125,0.95096,0.6721,1.25033,0.47879,1.2719,0.0088714,0.0088714,0.0088714
59,1677.19,1.15171,0.58065,1.18417,0.92574,0.89407,0.95964,0.6845,1.26143,0.4744,1.28515,0.0088516,0.0088516,0.0088516
60,1706.5,1.15085,0.58342,1.18213,0.93029,0.90386,0.95982,0.68391,1.25825,0.46771,1.27934,0.0088318,0.0088318,0.0088318
61,1735.74,1.15413,0.57446,1.18034,0.94405,0.92194,0.96112,0.6867,1.26964,0.4745,1.28133,0.008812,0.008812,0.008812
62,1765.16,1.14651,0.57596,1.1818,0.94734,0.916,0.96235,0.69012,1.26012,0.46749,1.27295,0.0087922,0.0087922,0.0087922
63,1794.48,1.14465,0.57044,1.17861,0.93727,0.90407,0.95502,0.68517,1.25229,0.47396,1.27236,0.0087724,0.0087724,0.0087724
64,1823.58,1.13906,0.56789,1.17613,0.93684,0.9223,0.95943,0.68074,1.23868,0.46784,1.25371,0.0087526,0.0087526,0.0087526
65,1852.73,1.13928,0.56343,1.18083,0.93618,0.93051,0.96286,0.68404,1.25571,0.47448,1.27774,0.0087328,0.0087328,0.0087328
66,1881.82,1.13707,0.55963,1.17581,0.9409,0.90415,0.96041,0.67945,1.26203,0.47811,1.27098,0.008713,0.008713,0.008713
67,1911.2,1.13354,0.56356,1.17754,0.92701,0.90092,0.94886,0.67781,1.26179,0.48104,1.28342,0.0086932,0.0086932,0.0086932
68,1940.46,1.12788,0.56025,1.1779,0.94413,0.93083,0.96244,0.68841,1.26261,0.46332,1.2816,0.0086734,0.0086734,0.0086734
69,1969.78,1.13038,0.5543,1.1716,0.93798,0.90317,0.95393,0.67091,1.26722,0.47827,1.28436,0.0086536,0.0086536,0.0086536
70,1999.01,1.12511,0.55495,1.1659,0.93971,0.92182,0.95787,0.68385,1.25788,0.46277,1.27486,0.0086338,0.0086338,0.0086338
71,2028.29,1.1166,0.54752,1.16413,0.94412,0.89606,0.95329,0.67798,1.28528,0.48527,1.30394,0.008614,0.008614,0.008614
72,2057.51,1.11225,0.5441,1.17053,0.93167,0.92295,0.95545,0.68768,1.25857,0.46643,1.27778,0.0085942,0.0085942,0.0085942
73,2086.78,1.11849,0.55231,1.16628,0.9377,0.91202,0.95573,0.68263,1.26262,0.46318,1.28954,0.0085744,0.0085744,0.0085744
74,2115.97,1.10951,0.5381,1.16609,0.95448,0.91718,0.95504,0.68448,1.25899,0.46992,1.27644,0.0085546,0.0085546,0.0085546
75,2145.63,1.11214,0.54044,1.16131,0.93567,0.89648,0.95315,0.68263,1.25676,0.47724,1.28889,0.0085348,0.0085348,0.0085348
76,2176.29,1.10625,0.54214,1.16206,0.9534,0.91509,0.96023,0.68758,1.26513,0.45594,1.28498,0.008515,0.008515,0.008515
77,2205.58,1.11005,0.54054,1.16736,0.95353,0.91319,0.96203,0.68777,1.25496,0.45658,1.28467,0.0084952,0.0084952,0.0084952
78,2234.88,1.10351,0.53831,1.16149,0.94129,0.92232,0.96934,0.69396,1.26982,0.46143,1.29658,0.0084754,0.0084754,0.0084754
79,2264.3,1.10291,0.53359,1.16259,0.94802,0.92568,0.95728,0.69104,1.25649,0.46569,1.29143,0.0084556,0.0084556,0.0084556
80,2293.54,1.09785,0.53269,1.15895,0.95418,0.90621,0.96004,0.69004,1.26646,0.45658,1.29297,0.0084358,0.0084358,0.0084358
81,2322.78,1.09346,0.53228,1.15495,0.93683,0.90862,0.95739,0.68769,1.25647,0.4617,1.2828,0.008416,0.008416,0.008416
82,2351.98,1.08956,0.53683,1.16047,0.93662,0.91098,0.95671,0.68372,1.26078,0.46077,1.29588,0.0083962,0.0083962,0.0083962
83,2381.21,1.09044,0.53056,1.15401,0.94827,0.90637,0.95929,0.67409,1.27555,0.46217,1.30486,0.0083764,0.0083764,0.0083764
84,2410.39,1.0815,0.5271,1.15362,0.9427,0.90893,0.96126,0.68347,1.27287,0.45765,1.3111,0.0083566,0.0083566,0.0083566
85,2439.57,1.08584,0.52908,1.15707,0.91994,0.91186,0.95275,0.68542,1.25946,0.46141,1.29184,0.0083368,0.0083368,0.0083368
86,2468.67,1.0775,0.51388,1.15323,0.95192,0.91525,0.96152,0.68874,1.2673,0.44352,1.28536,0.008317,0.008317,0.008317
87,2497.78,1.07678,0.51965,1.1565,0.94054,0.90705,0.9545,0.68497,1.27979,0.46098,1.30448,0.0082972,0.0082972,0.0082972
88,2526.87,1.07579,0.518,1.1454,0.94564,0.92072,0.96553,0.69253,1.26636,0.44859,1.298,0.0082774,0.0082774,0.0082774
89,2556.08,1.07154,0.51201,1.15068,0.94582,0.91785,0.95784,0.6801,1.26911,0.44355,1.3058,0.0082576,0.0082576,0.0082576
90,2585.25,1.06641,0.51506,1.14589,0.92412,0.92069,0.95644,0.6895,1.27034,0.45351,1.30219,0.0082378,0.0082378,0.0082378
91,2614.29,1.06318,0.50947,1.13777,0.94722,0.92206,0.95971,0.68752,1.27216,0.44592,1.30036,0.008218,0.008218,0.008218
92,2643.32,1.05894,0.50679,1.13522,0.95307,0.9181,0.96015,0.68809,1.26748,0.44709,1.30349,0.0081982,0.0081982,0.0081982
93,2672.44,1.05879,0.50719,1.14201,0.95022,0.92543,0.96192,0.68832,1.26996,0.44471,1.31149,0.0081784,0.0081784,0.0081784
94,2701.62,1.0532,0.50448,1.13498,0.94327,0.91226,0.95788,0.68261,1.28629,0.45015,1.32816,0.0081586,0.0081586,0.0081586
95,2730.87,1.05262,0.50954,1.14459,0.94705,0.92496,0.95964,0.68807,1.27788,0.44784,1.31371,0.0081388,0.0081388,0.0081388
96,2760.15,1.05393,0.50554,1.13631,0.95073,0.91809,0.95936,0.68096,1.28277,0.45023,1.31771,0.008119,0.008119,0.008119
97,2789.4,1.04081,0.49631,1.12794,0.94562,0.92023,0.95846,0.68855,1.26177,0.44755,1.29715,0.0080992,0.0080992,0.0080992
98,2818.59,1.04712,0.50377,1.13594,0.942,0.91678,0.95835,0.68805,1.27044,0.44781,1.33344,0.0080794,0.0080794,0.0080794
99,2847.89,1.03688,0.49693,1.13399,0.9483,0.91561,0.9587,0.68757,1.27817,0.45188,1.31453,0.0080596,0.0080596,0.0080596
100,2877.09,1.03829,0.49673,1.13494,0.94444,0.90896,0.96278,0.68727,1.27525,0.44823,1.31931,0.0080398,0.0080398,0.0080398
101,2906.3,1.03647,0.49711,1.1334,0.94517,0.91581,0.95388,0.6828,1.28219,0.4533,1.32281,0.00802,0.00802,0.00802
102,2935.5,1.0325,0.49047,1.12637,0.94779,0.91521,0.96199,0.68237,1.28039,0.44753,1.32665,0.0080002,0.0080002,0.0080002
103,2964.77,1.02524,0.48996,1.1209,0.95668,0.91977,0.96076,0.68563,1.28605,0.45391,1.33186,0.0079804,0.0079804,0.0079804
104,2993.96,1.02655,0.48878,1.11887,0.96264,0.9216,0.9588,0.68611,1.28168,0.4608,1.31793,0.0079606,0.0079606,0.0079606
105,3023.14,1.0212,0.49161,1.12117,0.95061,0.91954,0.9589,0.68196,1.27916,0.45197,1.31807,0.0079408,0.0079408,0.0079408
106,3052.3,1.01635,0.48739,1.11842,0.94635,0.91869,0.95918,0.68595,1.27381,0.44794,1.31792,0.007921,0.007921,0.007921
107,3081.48,1.02137,0.48561,1.12239,0.95354,0.9202,0.961,0.67939,1.28651,0.44994,1.31797,0.0079012,0.0079012,0.0079012
108,3110.71,1.01498,0.48318,1.11794,0.94801,0.90602,0.94941,0.67396,1.29544,0.46035,1.3417,0.0078814,0.0078814,0.0078814
